Date,P,Tmax,Tmin,Q,,,,,,,
01-01-2003,0.763947,-0.731,-11.454,6254.72,,,,,,,
02-01-2003,0.134211,0.976,-13.144,6013.045853,,,,,,,
03-01-2003,0.0797368,3.499,-11.88,5779.66,,,,,,,
04-01-2003,0.168684,1.677,-11.172,5785.782843,,,,,,,
05-01-2003,0.143026,0.575,-12.994,5707.55,,,,,,,
06-01-2003,0.0294737,1.535,-12.959,5654.511341,,,,,,,
07-01-2003,0.0123684,3.213,-11.026,5560.32,,,,,,,
08-01-2003,0.00894737,1.036,-10.8,5571.753891,,,,,,,
09-01-2003,0.00328947,1.306,-11.521,5557.95,,,,,,,
10-01-2003,0.00342105,1.104,-10.624,5520.079079,,,,,,,
11-01-2003,0.00657895,1.354,-10.594,5475.63,,,,,,,
12-01-2003,0.00921053,0.692,-10.902,5478.841778,,,,,,,
13-01-2003,0.0431579,1.106,-11.197,5502.61,,,,,,,
14-01-2003,0.0678947,-0.829,-12.996,5417.936827,,,,,,,
15-01-2003,0.0110526,0.581,-12.858,5408.9,,,,,,,
16-01-2003,0.0248684,3.284,-11.323,5276.344147,,,,,,,
17-01-2003,0,5.353,-9.282,5180.56,,,,,,,
18-01-2003,0.0256579,6.752,-7.235,5097.877299,,,,,,,
19-01-2003,0.0888158,7.229,-6.955,4989.02,,,,,,,
20-01-2003,0.0121053,6.853,-7.354,4953.329831,,,,,,,
21-01-2003,0.0642105,5.1,-9.926,4840.84,,,,,,,
22-01-2003,0.2,4.991,-10.637,4899.635597,,,,,,,
23-01-2003,0.971974,2.449,-8.259,4950.05,,,,,,,
24-01-2003,0.321579,1.959,-8.576,4860.995908,,,,,,,
25-01-2003,0.00592105,3.145,-8.775,4855.71,,,,,,,
26-01-2003,0.0172368,3.947,-9.262,4735.190725,,,,,,,
27-01-2003,0.0702632,4.424,-9.452,4616.94,,,,,,,
28-01-2003,0.939211,4.709,-8.589,4613.419457,,,,,,,
29-01-2003,3.09066,1.254,-8.088,4559.25,,,,,,,
30-01-2003,0.834605,0.726,-7.913,4555.138237,,,,,,,
31-01-2003,0.938421,2.26,-7.174,4513.53,,,,,,,
01-02-2003,0.637368,2.837,-8.338,4546.079423,,,,,,,
02-02-2003,0.164868,3.9,-9.347,4555.41,,,,,,,
03-02-2003,0.0919737,3.783,-9.035,4570.476815,,,,,,,
04-02-2003,0.4625,4.03,-8.939,4594.72,,,,,,,
05-02-2003,2.79289,2.458,-7.927,4592.281165,,,,,,,
06-02-2003,1.26618,2.082,-10.507,4635.82,,,,,,,
07-02-2003,0.918553,3.241,-9.345,4570.597935,,,,,,,
08-02-2003,1.18289,1.825,-8.596,4460.93,,,,,,,
09-02-2003,0.684211,1.272,-9.222,4606.140022,,,,,,,
10-02-2003,0.613684,1.386,-9.595,4708.87,,,,,,,
11-02-2003,0.895395,1.653,-8.929,4696.699236,,,,,,,
12-02-2003,2.09539,0.483,-8.91,4723.41191,,,,,,,
13-02-2003,1.14566,0.76,-9.128,4751.590283,,,,,,,
14-02-2003,1.19092,-0.233,-10.378,4781.227836,,,,,,,
15-02-2003,0.245132,2.084,-10.423,4812.318049,,,,,,,
16-02-2003,0.103684,3.634,-10.166,4875.22,,,,,,,
17-02-2003,0.305789,4.385,-9.899,4845.099752,,,,,,,
18-02-2003,1.67355,5.543,-7.58,4865.54,,,,,,,
19-02-2003,3.30329,4.692,-7.64,4829.236054,,,,,,,
20-02-2003,1.25737,2.234,-8.462,4764.89,,,,,,,
21-02-2003,0.590921,0.585,-10.798,4852.480397,,,,,,,
22-02-2003,0.0689474,2.18,-11.074,4945.91,,,,,,,
23-02-2003,0.225,3.452,-9.582,4877.448291,,,,,,,
24-02-2003,1.03566,3.064,-8.655,4885.86,,,,,,,
25-02-2003,3.45789,2.298,-7.733,4825.512162,,,,,,,
26-02-2003,1.75158,1.447,-7.566,4840.91,,,,,,,
27-02-2003,0.93,2.084,-9.452,4698.683064,,,,,,,
28-02-2003,0.0784211,4.749,-8.754,4558.63,,,,,,,
01-03-2003,0.167895,6.001,-7.279,4579.915896,,,,,,,
02-03-2003,0.633289,6.67,-5.652,4442.82,,,,,,,
03-03-2003,0.922368,7.958,-3.817,4648.789539,,,,,,,
04-03-2003,0.421053,7.51,-4.305,4907.03,,,,,,,
05-03-2003,0.0602632,4.635,-7.102,4671.513032,,,,,,,
06-03-2003,0.135789,4.419,-7.591,4590.83,,,,,,,
07-03-2003,0.231974,4.576,-7.081,4534.681958,,,,,,,
08-03-2003,0.378553,2.041,-9.602,4412.13,,,,,,,
09-03-2003,0.236974,4.063,-10.217,4485.547868,,,,,,,
10-03-2003,0.516974,4.442,-7.659,4544,,,,,,,
11-03-2003,2.17197,3.037,-6.963,4468.027982,,,,,,,
12-03-2003,3.60539,3.528,-5.972,4278.34,,,,,,,
13-03-2003,2.01461,3.233,-6.46,4592.757208,,,,,,,
14-03-2003,0.730395,4.802,-6.481,4773.98,,,,,,,
15-03-2003,1.67289,5.436,-4.85,4881.568573,,,,,,,
16-03-2003,2.02079,4.986,-3.53,5098.79,,,,,,,
17-03-2003,2.61987,5.206,-4.653,5064.051408,,,,,,,
18-03-2003,3.13382,5.765,-5.345,5081.11,,,,,,,
19-03-2003,4.29987,4.955,-5.523,5204.456848,,,,,,,
20-03-2003,2.86526,2.994,-5.683,5270.61,,,,,,,
21-03-2003,0.739211,3.871,-6.804,5424.171306,,,,,,,
22-03-2003,0.193684,6.233,-6.984,5374.15,,,,,,,
23-03-2003,0.173026,8.354,-6.165,5885.738975,,,,,,,
24-03-2003,0.377237,8.363,-5.243,6322.1,,,,,,,
25-03-2003,0.905263,7.571,-3.725,6445.1956,,,,,,,
26-03-2003,1.48789,7.715,-3.514,6793.32,,,,,,,
27-03-2003,0.496842,8.334,-4.867,6767.127246,,,,,,,
28-03-2003,0.86579,8.925,-4.746,6959.79,,,,,,,
29-03-2003,2.44118,9.535,-3.522,6857.927994,,,,,,,
30-03-2003,5.07276,6.432,-1.471,6913.46,,,,,,,
31-03-2003,5.33789,6.971,-2.121,6786.788413,,,,,,,
01-04-2003,6.47724,6.999,-1.685,6550.29,,,,,,,
02-04-2003,3.81316,7.819,-2.017,6852.448229,,,,,,,
03-04-2003,1.89776,8.134,-2.166,7067.33,,,,,,,
04-04-2003,0.827895,8.534,-0.271,7031.04508,,,,,,,
05-04-2003,0.572632,9.436,-0.983,7064.2,,,,,,,
06-04-2003,0.352368,10.584,-1.365,7149.105964,,,,,,,
07-04-2003,1.08645,10.762,-0.085,7097.73,,,,,,,
08-04-2003,0.812237,9.843,-0.935,7436.182692,,,,,,,
09-04-2003,0.896447,9.981,-1.531,7671.15,,,,,,,
10-04-2003,1.66434,10.311,-0.787,7855.985272,,,,,,,
11-04-2003,3.97118,9.983,-0.888,7850.03,,,,,,,
12-04-2003,3.82829,8.83,-0.811,8504.952333,,,,,,,
13-04-2003,2.91961,9.105,-1.879,9297.54,,,,,,,
14-04-2003,3.50066,10.518,-2.309,9016.449119,,,,,,,
15-04-2003,3.52855,10.287,-0.973,8962.35,,,,,,,
16-04-2003,3.05513,10.724,-0.431,9290.329073,,,,,,,
17-04-2003,7.42882,9.715,0.195,9499.382514,,,,,,,
18-04-2003,1.78776,12.094,-0.639,9711.35215,,,,,,,
19-04-2003,3.55447,13.108,1.162,9849.61,,,,,,,
20-04-2003,5.59605,10.757,1.806,10229.02538,,,,,,,
21-04-2003,5.24513,10.107,0.084,10449.45,,,,,,,
22-04-2003,4.63224,8.897,-0.758,10937.32076,,,,,,,
23-04-2003,0.150132,10.557,-0.729,11571.09,,,,,,,
24-04-2003,0.474342,13.383,0.229,11495.77278,,,,,,,
25-04-2003,1.93421,13.895,3.176,11418.16,,,,,,,
26-04-2003,6.39711,12.797,4.354,12068.12427,,,,,,,
27-04-2003,3.81211,12.734,4.155,12416.96,,,,,,,
28-04-2003,3.20342,12.103,3.879,12985.42165,,,,,,,
29-04-2003,2.98276,11.479,3.037,13519.03,,,,,,,
30-04-2003,1.58513,11.612,2.988,14437.26,,,,,,,
01-05-2003,5.2325,10.12,2.621,13871.30723,,,,,,,
02-05-2003,2.76303,10.146,2.757,13794.78841,,,,,,,
03-05-2003,2.81539,11.932,3.133,13719.81879,,,,,,,
04-05-2003,4.50105,10.946,2.771,13646.72865,,,,,,,
05-05-2003,3.16158,11.561,1.942,13575.84828,,,,,,,
06-05-2003,1.87224,11.2,2.043,13007.84,,,,,,,
07-05-2003,4.20947,9.991,1.312,13997.07783,,,,,,,
08-05-2003,3.88461,9.237,0.252,14489.22454,,,,,,,
09-05-2003,1.67197,9.063,0.114,14983.65461,,,,,,,
10-05-2003,1.38868,9.097,-0.377,15480.07454,,,,,,,
11-05-2003,0.504211,10.85,0.281,15978.19086,,,,,,,
12-05-2003,0.399474,10.559,1.189,16477.71007,,,,,,,
13-05-2003,0.273684,13.935,2.029,17504.95,,,,,,,
14-05-2003,1.58921,13.828,4.047,16894.81422,,,,,,,
15-05-2003,3.86434,12.76,4.79,16812.46959,,,,,,,
16-05-2003,4.15237,12.786,4.669,16731.66871,,,,,,,
17-05-2003,4.64961,12.822,4.551,16652.7755,,,,,,,
18-05-2003,2.66368,12.217,4.311,16576.15389,,,,,,,
19-05-2003,2.2175,11.735,3.915,16502.16778,,,,,,,
20-05-2003,5.84355,13.276,4.204,16332.9,,,,,,,
21-05-2003,4.08579,11.95,4.295,16472.73015,,,,,,,
